HG04157	illumina	s3://human-pangenomics/working/HPRC/HG04157/raw_data/Illumina/child/HG04157.final.cram	no
HG04157	ont	s3://human-pangenomics/working/HPRC/HG04157/raw_data/nanopore/guppy_6/08_03_21_R941_HG04157_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	yes
HG04157	pacbio	s3://human-pangenomics/working/HPRC/HG04157/raw_data/PacBio_HiFi/m84091_230817_143140_s2.hifi_reads.bc1008.bam	yes
HG04160	illumina	s3://human-pangenomics/working/HPRC/HG04160/raw_data/Illumina/child/HG04160.final.cram	no
HG04160	ont	s3://human-pangenomics/working/HPRC/HG04160/raw_data/nanopore/guppy_6/08_03_21_R941_HG04160_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	yes
HG04160	pacbio	s3://human-pangenomics/working/HPRC/HG04160/raw_data/PacBio_HiFi/m84091_230802_180324_s3.hifi_reads.bc1003.bam	yes
HG04184	illumina	s3://human-pangenomics/working/HPRC/HG04184/raw_data/Illumina/child/HG04184.final.cram	no
HG04184	ont	s3://human-pangenomics/working/HPRC/HG04184/raw_data/nanopore/guppy_6/08_25_21_R941_HG04184_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	yes
HG04184	pacbio	s3://human-pangenomics/working/HPRC/HG04184/raw_data/PacBio_HiFi/m84046_230523_001708_s3.hifi_reads.default.bam	yes
HG04187	illumina	s3://human-pangenomics/working/HPRC/HG04187/raw_data/Illumina/child/HG04187.final.cram	no
HG04187	ont	s3://human-pangenomics/working/HPRC/HG04187/raw_data/nanopore/guppy_6/08_10_21_R941_HG04187_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	yes
HG04187	pacbio	s3://human-pangenomics/working/HPRC/HG04187/raw_data/PacBio_HiFi/m84091_230802_173218_s2.hifi_reads.bc1001.bam	yes
HG04199	illumina	s3://human-pangenomics/working/HPRC/HG04199/raw_data/Illumina/child/HG04199.final.cram	no
HG04199	ont	s3://human-pangenomics/working/HPRC/HG04199/raw_data/nanopore/guppy_6/08_10_21_R941_HG04199_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	yes
HG04199	pacbio	s3://human-pangenomics/working/HPRC/HG04199/raw_data/PacBio_HiFi/m84046_230703_225306_s4.hifi_reads.default.bam	yes
HG04204	illumina	s3://human-pangenomics/working/HPRC/HG04204/raw_data/Illumina/child/HG04204.final.cram	no
HG04204	ont	s3://human-pangenomics/working/HPRC/HG04204/raw_data/nanopore/guppy_6/08_10_21_R941_HG04204_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	yes
HG04204	pacbio	s3://human-pangenomics/working/HPRC/HG04204/raw_data/PacBio_HiFi/m84046_230623_213746_s2.hifi_reads.bc1003.bam	yes
HG04228	illumina	s3://human-pangenomics/working/HPRC/HG04228/raw_data/Illumina/child/HG04228.final.cram	no
